food_alias_id,food_id,alias_name,normalized_alias,alias_type
16390ba6-fe80-5e0e-ad8c-f817827b2cfe,197ed6d0-fc4c-5712-9132-43c482651b3f,고수(향채),고수향채,INGREDIENT_BASE
83eb0846-ae14-5004-a416-6620ed00cfd2,c289c977-4501-5814-9816-ee27a51a5b9e,고추,고추,INGREDIENT_BASE
01bd8308-6dc4-5501-aff1-e738b1fde589,7800276a-070a-5339-a51f-0271d79f8047,고추냉이,고추냉이,INGREDIENT_BASE
e5e0dbce-3b3e-5ed6-b8ce-daf4b3bcb6d6,d8e53c5d-4704-5569-b2d0-3cbb038cf310,고추장아찌,고추장아찌,INGREDIENT_BASE
7cb69968-2991-511b-b8d8-a3fe5b186279,0ef34eb8-8cac-57ec-a546-9871da045f28,고춧잎,고춧잎,INGREDIENT_BASE
d6bbc001-eab4-5e45-bbd5-63a2f9134eb7,097308e5-6acd-550f-94c1-c005794e5f6b,곤달비,곤달비,INGREDIENT_BASE
e965d863-8b0a-528a-8d37-da0cda25f605,95d19262-446b-5391-9b9c-9575e5f0d602,곤약(구약나물),곤약구약나물,INGREDIENT_BASE
5ed0b177-8d53-5916-b822-346dc3a7ec0a,8ed281ac-3584-5fde-b088-17727b610500,곰피,곰피,INGREDIENT_BASE
d0746707-c15d-5083-8f46-face647b75ac,ddf9c972-49ff-5457-8ae7-753cf83461e8,공심채,공심채,INGREDIENT_BASE
7b54aaf2-872b-5f73-94b8-698691e96abf,e2de50de-58fd-5153-bb8d-a3b6f8e9ab36,괴도라치,괴도라치,INGREDIENT_BASE
d5b8afc5-a3bc-5ff8-88e1-cdddb8dbba11,84f76352-9cdc-59fc-985e-0a298f2be344,구기자,구기자,INGREDIENT_BASE
44cbb1e0-fbf9-57ad-8334-43d0dc6bda23,65106c87-cdcb-54c8-b25f-5b24e97f3d07,구스베리,구스베리,INGREDIENT_BASE
eb1c0a78-35ab-5d51-b007-d8cbab2f9187,3310e536-d8ab-54dc-80d5-d3b1b3b2cc93,구아바,구아바,INGREDIENT_BASE
e485ca0e-1e4b-5e0d-9627-ea8996c09b92,b2f25352-a63d-570e-a690-b6d4526cb0ae,국화꽃,국화꽃,INGREDIENT_BASE
29874e4c-813e-5dd4-8e96-d5f4dcb64e3a,b2d67881-b229-53cc-a444-a573bc65341d,군소,군소,INGREDIENT_BASE
4d9c6c33-392b-5ded-9fa4-44ffa2e9e9b0,b156b22f-6bb5-5c35-8c60-0a57dd9424c2,군평선이,군평선이,INGREDIENT_BASE
da89502f-b51c-5a0f-929a-d2204d5996a6,911cf53a-4158-57ba-a0fa-af4e5b0932ad,굴,굴,INGREDIENT_BASE
869b7f4c-9be3-5b21-9792-6b6f3346f8f3,a25d731a-d4cd-50c4-b352-6d61efd34698,귀리,귀리,INGREDIENT_BASE
47227fa8-12e6-55fe-b0f9-5621758ed9c7,d639d8f1-293b-5db1-88c1-ce7fb26ff80a,귤,귤,INGREDIENT_BASE
cd6e1b60-508f-501a-ad14-05d8d21d8d23,7fb96160-5840-5df9-8704-53538d856ca2,귤 착즙,귤착즙,INGREDIENT_BASE
4a26b771-badf-5a53-82fe-8d9c96af233d,08b8daf5-d0f1-55f0-96be-fce01a050484,근대,근대,INGREDIENT_BASE
b181eee2-ac03-5246-bd66-1b5ce8fa9591,15f4ff65-f7d8-567a-a0d8-a104d9548258,금귤,금귤,INGREDIENT_BASE
2d6dcac0-cbc6-5b85-83eb-875c76701f33,966fb160-0dd2-5bec-b4b6-f5a6d0b1e329,기러기알,기러기알,INGREDIENT_BASE
bfdd60ba-05dc-5763-8fe3-ec2ee298aca0,cce62df1-e5a9-510e-a24d-ea1a1458afab,기름종개,기름종개,INGREDIENT_BASE
d907d0f0-c5fc-525b-aedd-3c70d4d6b263,72478133-3f87-5f45-b578-feb916e0f415,기장,기장,INGREDIENT_BASE
ca839b68-cff9-55d3-870b-c88a12260caa,d664bdcc-90e1-52cd-9167-175635bd40bb,김,김,INGREDIENT_BASE
e51cc8d2-2b5b-5a28-825a-e8f26ec5bece,1e94e70e-c976-568c-b29b-21632032b6fe,까나리,까나리,INGREDIENT_BASE
e2bed6c7-9c62-54e1-9991-829efe9de9b8,b7a22b7e-97f2-5cc3-89a3-75ad28f48a67,꺽저기,꺽저기,INGREDIENT_BASE
f3230a9b-18bc-5231-8ea5-f5392f0e3ca9,40cb3b6c-8370-55d1-913d-d7168b7659f2,꼬막,꼬막,INGREDIENT_BASE
85ccbdfa-2441-5c5a-b2df-f187f924add1,a932242b-b090-5cf6-9ce0-4d8994971f01,꼬시래기,꼬시래기,INGREDIENT_BASE
de4c54ae-f70c-5cd7-a063-733e2591debc,a7b97477-5844-5f84-8d3c-db6d420df8da,꼬치고기,꼬치고기,INGREDIENT_BASE
f63ea6eb-16b8-5b4e-ad6d-2489f623838e,4ad09ba5-2af6-58ee-993f-ece918fde850,꼴뚜기,꼴뚜기,INGREDIENT_BASE
2278a698-8d1b-5e51-ae88-792a5221396b,b0e96182-0b25-5403-9690-658c16e1542e,꼼치,꼼치,INGREDIENT_BASE
b6a31e81-e9fe-5fe5-9cbb-9fac9cce26f6,08f697df-0972-5b2a-add2-847ed37186ee,꽁치,꽁치,INGREDIENT_BASE
4d697abd-1eb5-5530-9e28-8b09cb430246,d03b3e97-c01d-5dce-ab46-bce4e0df9c7d,꽁치(과메기),꽁치과메기,INGREDIENT_BASE
2473bce1-febc-578d-8048-8316f02a6052,67b196d9-46aa-5f06-8852-05bc11bf1b57,꽃송이버섯,꽃송이버섯,INGREDIENT_BASE
0d8360aa-7c19-597f-a597-c622a0bc5229,8d9ee7c4-c2ac-5f7d-8867-db50e99d7d16,꽃양배추(콜리플라워),꽃양배추콜리플라워,INGREDIENT_BASE
18ae8a27-d346-5646-825a-66a042cf22b3,5e63f0e1-c75a-5016-b013-0efe1001d7ae,꾸지뽕,꾸지뽕,INGREDIENT_BASE
